source	split	total_words	total_pnx	words_seg	pnx_seg	words_no_seg	pnx_no_seg
Quran	train	60085	8804	0	4402	60085	4402
Green Library	train	31708	9193	252	2314	31456	6879
WikiNews	train	11746	1232	96	599	11650	633
Curriculum	train	99977	19261	4470	8962	95507	10299
Kashkul	train	2241	307	258	146	1983	161
ZAEBUC	train	10180	923	70	700	10110	223
Spacetoon Songs	train	3456	830	347	508	3109	322
Diwan	train	5411137	571094	571108	99	4840029	570995
Hanging Odes	train	5100	41	541	3	4559	38
Old Testament	train	34238	6780	1784	401	32454	6379
QALB	train	6935	1189	14	650	6921	539
Hindawi	train	327971	62565	3607	17267	324364	45298
Hanada Final Poems	train	1151	119	373	15	778	104
BTEC	train	9235	2008	1	1415	9234	593
ArabicMMLU	train	118916	54547	20087	5606	98829	48941
Hadith	train	7382	1361	167	642	7215	719
Majed	train	83964	19665	2421	7258	81543	12407
Hayy ibn Yaqdhan	train	13187	993	174	677	13013	316
ALC	train	6009	826	38	543	5971	283
Sara	train	21837	3142	21	1516	21816	1626
Kalima	train	30749	5227	401	1969	30348	3258
Wikipedia	train	99747	14944	175	4981	99572	9963
New Testament	train	33581	7509	1936	354	31645	7155
Arabian Nights	train	8366	295	714	110	7652	185
My Language Sings	train	2155	702	251	173	1904	529
Quran	test	11904	1816	0	908	11904	908
Mama Makes Bread	test	381	87	4	34	377	53
Green Library	test	2453	667	17	180	2436	487
WikiNews	test	2517	228	37	105	2480	123
Curriculum	test	19106	3502	607	1670	18499	1832
ZAEBUC	test	2260	187	19	155	2241	32
Spacetoon Songs	test	414	73	57	62	357	11
Diwan	test	1159683	122466	122440	34	1037243	122432
Hanging Odes	test	1156	4	111	1	1045	3
Old Testament	test	7109	1544	363	77	6746	1467
QALB	test	1358	218	10	107	1348	111
Hindawi	test	71372	13619	850	3403	70522	10216
BTEC	test	1871	419	0	290	1871	129
ArabicMMLU	test	12241	6440	2178	498	10063	5942
Hadith	test	1565	284	30	157	1535	127
Majed	test	8938	1548	395	616	8543	932
Hayy ibn Yaqdhan	test	2635	169	41	121	2594	48
ALC	test	1091	100	8	77	1083	23
Sara	test	4344	631	3	288	4341	343
Kalima	test	5039	699	63	262	4976	437
Wikipedia	test	8719	1285	17	416	8702	869
New Testament	test	7007	1590	399	71	6608	1519
Arabian Nights	test	1671	62	145	27	1526	35
Majed	STask	5539	1109	427	472	5112	637
Kalima	STask	3778	639	42	251	3736	388
Green Library	STask	1825	318	13	119	1812	199
Hindawi	STask	20143	4026	201	945	19942	3081
Wikipedia	STask	15979	2579	11	813	15968	1766
Curriculum	STask	7599	1368	256	611	7343	757
ArabicMMLU	STask	5705	3623	989	401	4716	3222
Spacetoon Songs	STask	374	72	57	55	317	17
Quran	dev	11685	1852	0	926	11685	926
Green Library	dev	1208	203	8	69	1200	134
WikiNews	dev	2288	303	16	143	2272	160
Curriculum	dev	15422	3203	775	1476	14647	1727
ZAEBUC	dev	2056	172	18	147	2038	25
Spacetoon Songs	dev	320	59	45	39	275	20
Diwan	dev	1159290	122695	122606	55	1036684	122640
Hanging Odes	dev	1057	6	126	2	931	4
Old Testament	dev	7296	1506	365	92	6931	1414
QALB	dev	1421	331	1	141	1420	190
Hindawi	dev	48308	10563	522	2607	47786	7956
BTEC	dev	1966	434	0	294	1966	140
ArabicMMLU	dev	13032	5865	2319	469	10713	5396
Hadith	dev	1558	230	38	156	1520	74
Majed	dev	7669	2521	271	930	7398	1591
Hayy ibn Yaqdhan	dev	2467	223	25	160	2442	63
Suleiman Al Issa	dev	316	32	88	12	228	20
ALC	dev	1058	144	2	59	1056	85
Sara	dev	4673	729	11	327	4662	402
Kalima	dev	3149	503	41	183	3108	320
Wikipedia	dev	9508	1542	9	489	9499	1053
New Testament	dev	6943	1551	392	74	6551	1477
Arabian Nights	dev	1387	50	126	23	1261	27
